0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,labels
1.2781713,1.4563936,1.0977855,2.4052136,1.524824,1.9902872,2.6923046,1.4580572,1.809483,1.2657522,2.1471522,1.6383388,1.315167,2.4565835,1.7669674,2.192624,1
1.7062254,1.825439,1.8957322,1.5428483,1.8140049,1.7068573,1.2364107,1.7636728,1.9510602,1.6616569,2.4477952,2.0716095,2.2102952,1.408806,1.9224473,1.880413,5
1.7047023,1.2158272,1.3929015,0.9149033,2.1371436,1.5917119,1.8638244,1.8256348,1.9768747,2.120366,1.1146107,1.6482583,2.0758314,1.7733347,2.3279793,1.7655461,3
1.4095305,0.485363,1.0630503,2.2394958,1.5172632,2.3164642,1.4735495,1.2483466,1.4253303,1.00646,1.7676141,1.8398879,2.018518,0.9977742,2.2226763,1.9743559,2
1.5319866,1.6730556,1.7101808,2.063072,1.500143,1.5972317,2.3852558,1.4829286,2.1360357,2.0044436,2.360393,2.064973,1.6024436,0.78822786,2.3530684,0.8238099,0
1.9295927,1.3543497,1.4070138,0.8744463,2.0660496,1.6770302,1.5927579,1.8202307,2.1233473,1.9121897,1.6017797,1.7474283,2.5577817,1.9030368,2.0300148,1.8234733,3
1.5871499,0.7933788,1.1756067,2.1460264,1.4542314,2.2253861,1.4136537,1.1840103,1.6028367,1.2149087,1.569389,1.7469417,1.7615199,1.0678827,2.2021956,1.8530672,2
1.7708902,1.7171172,1.8603528,1.4407136,1.9067358,1.7571236,1.1582291,1.8333594,1.6921126,1.4443091,2.3332655,2.2624748,2.3638484,1.1774832,1.7165073,1.1114194,5
1.7094983,1.7738018,1.9855592,1.5035108,1.6261929,1.707697,1.0806428,1.6614594,1.4939579,1.5895323,2.2156415,2.520755,1.9121672,1.3158219,2.094363,1.6947883,5
1.337089,1.4246165,1.0035151,2.4711592,1.6392231,1.9679176,2.5157251,1.4047935,1.4594928,1.6647636,2.227346,1.2538676,1.1594813,2.5928853,1.8789542,2.3450363,1
1.6236509,1.4807111,2.1757796,1.9087093,1.3373463,1.4481987,2.0239742,1.3454556,1.5594451,1.8338902,2.0595715,2.2238932,2.3438087,1.318013,1.5469809,1.3406912,4
1.3458787,1.2050897,1.0920519,2.537119,1.5537575,2.2007196,2.3626387,1.3188394,1.8184303,1.5674214,2.3271537,1.7045636,1.5729169,2.4677627,1.7674189,2.0623496,1
1.4466528,1.0407871,2.0803747,1.750098,1.1762645,1.2255685,2.2464898,1.0929554,1.7331871,1.5974816,1.9418353,2.0341177,2.2229807,1.3674481,1.6384274,1.2968284,4
1.7642684,1.8575486,2.0409777,1.4673854,1.6799685,1.7505008,1.0907124,1.8083472,1.4970833,1.7230215,2.091601,2.227185,2.2044525,1.2539937,1.9949088,1.5632948,5
1.4674058,1.5246985,0.9582331,2.5643775,1.685011,2.1890407,2.4396966,1.5654203,1.9789386,1.4395885,2.1653965,1.5709803,1.3895334,2.3470414,1.7386597,2.2053804,1
1.559168,1.2016721,2.1255336,1.7453383,1.3773329,1.3387523,2.1436145,1.2289637,1.9046018,1.9842954,1.7490634,1.9699795,2.511814,1.5954329,1.4624757,1.4208313,4
1.5063429,1.122091,2.013771,1.7045356,1.3078576,1.3099427,2.1042073,1.2668719,1.8782744,1.9491642,1.858632,2.028389,2.5803041,1.4575356,1.3519524,1.2962844,4
1.6995946,1.6386216,2.034325,1.6503061,1.5938675,1.8283533,1.0710176,1.7228229,1.6856654,1.7374325,2.3303473,2.2997923,2.0092838,1.5430502,1.9394034,1.8090953,5
1.8422797,2.033341,2.0533557,1.4658455,1.758109,1.6963396,1.1920551,1.8825046,1.7925564,2.4842067,1.482068,2.1963809,1.3650899,1.4728192,2.3797827,1.7154397,6
1.5094309,1.3490987,1.8868929,1.9598148,1.2930187,1.370438,2.6459699,1.212707,1.8516341,1.6840905,1.9881737,1.9861658,2.2491374,1.2661821,1.6747499,1.1595324,4
1.7293943,1.2417634,1.5243683,1.300419,1.9208742,1.7336094,1.8653246,1.7329328,2.0687933,1.7433487,1.4290603,1.7295216,2.4041464,1.8178024,2.313125,1.7120674,3
1.7721804,1.960435,2.0892415,1.7135273,1.7156214,1.6518211,1.6087414,1.8860133,1.1527649,2.329021,1.6043334,2.6959279,1.4590623,0.990226,2.4799955,1.5420755,6
1.7389753,1.1331327,1.1661742,0.8184572,2.0473669,1.6655878,1.7925482,1.7163846,1.8251982,1.8163054,1.334365,1.829285,2.4358766,1.7505951,2.3468828,1.7014769,3
1.4418907,1.6541752,1.3255469,2.3627236,1.580721,1.7823681,2.4900868,1.4965125,2.163436,1.0980614,1.8986181,1.0197763,0.6360051,2.3384657,1.6569428,2.593899,1
1.5101986,0.39641607,1.1617413,2.3865855,1.4465458,2.27204,1.4888606,0.95742804,1.4262874,0.94460016,1.7068595,1.8247831,1.9160051,0.8247329,2.3131225,1.9086717,2
